x,y,name,production
-19.918078829201228,32.12490409880322,Ibach,1.95
-19.918079316990994,32.12490438702131,"Müliacher, Steinen",5.0
-19.91808027752145,32.124903241664214,Sustli,8.8
-19.918080084398273,32.12490181016322,Stalden (Kloster),4.7
-19.918080648183867,32.1249017384062,Engelberg (Trübsee),18.8
-19.918080710349727,32.12490174587724,"Arni, Engelberg",6.0
-19.918080917043454,32.12490189664176,Obermatt,125.0
-19.918080942943654,32.124901896440086,Obermatt-Nebenzentrale,5.0
-19.91808097032252,32.12490253592576,Dallenwil,75.5
-19.918080971142714,32.124902681117824,Buoholzbach,7.0
-19.918080588160898,32.12490235853106,Oberrickenbach,14.2
-19.918080902806583,32.124902458191556,Wolfenschiessen,20.3
-19.91808282913368,32.12490071755452,Hackeren,3.2
-19.91808279358257,32.12490112096791,Unteraa (Melchaa),30.0
-19.91808279358257,32.12490112096791,Unteraa (Lungerersee),72.0
-19.91808238115197,32.12490158414194,"Obflue, Sachseln",1.5
-19.918081669148105,32.12490126353154,Hugschwendi,37.0
-19.918081916129896,32.12490223010938,"Wisserlen, Kerns",3.46
-19.918082108478462,32.12490245785278,"Eichi, Alpnach",14.4
-19.918081771485916,32.1249027897425,Rotzloch,1.5
-19.918082365194323,32.12490342484277,Mühlenplatz,3.0
-19.918084572204982,32.12490277260724,Wolhusen (Geistlich),1.16
-19.91808365204247,32.124902899793,Ettisbühl,4.5
-19.918082934905033,32.12490307908247,Stollen,3.0
-19.91808289608878,32.124903268485085,Thorenberg,4.8
-19.918082794693856,32.12490343621083,Emmenweid,4.55
-19.918082351393217,32.12490371235176,Rathausen,15.9
-19.91808201740147,32.12490405508398,"Perlen 1 (WTA HF, in Buchrain)",8.0
-19.91808192898676,32.12490411981759,"Perlen 2 (WTA PF, in Root)",7.8
-19.91808003356314,32.1249049817352,Innere Spinnerei,2.2
-19.918080170964533,32.124905057133155,Neuägeri,1.8
-19.918080262394284,32.124905209706874,Lorzentobel 2,8.0
-19.918080349725294,32.12490526124752,Lorzentobel 1,5.8
-19.918080554891375,32.12490534248172,Lorzentobel 3,10.0
-19.918081497666666,32.12490505814246,"Untermühle, Cham",2.7
-19.918081571964,32.124905083959156,Hagendorn,2.59
-19.918082977080505,32.12490598775454,Bremgarten-Zufikon,106.0
-19.918083061151567,32.124906019026845,Bruggmühle,3.51
-19.918084588723865,32.12490678593602,Windisch,12.2
-19.91807469157897,32.124903887875774,Limmern,7.8
-19.918075037215324,32.12490403696402,Tierfehd (Limmern),322.6
-19.918075065107377,32.12490405317265,Tierfehd (Umwälzwerk),0.0
-19.918075037215324,32.12490403696402,Tierfehd (Hintersand),88.0
-19.918075168870686,32.12490436764301,Linthal (Limmern),63.8
-19.918075168870686,32.12490436764301,Fätschbach,74.4
-19.91807510287875,32.12490443110031,Linthkraft (Stiftung),2.27
-19.918075089049502,32.12490449175243,Linthal (Spinnerei Linthal),8.14
-19.918075071113314,32.12490451226188,"Brummbach, Linthal",12.6
-19.918075298237124,32.12490454452809,"Brummbach, Braunwald",3.2
-19.91807500691918,32.12490458783746,"Cotlan, Rüti ",12.5
-19.91807490244912,32.12490478590218,"Diesbach (Linth), Legler",5.1
-19.918074832152712,32.12490493500432,Hätzingen,6.7
-19.91807488307087,32.12490493258687,Luchsingen,13.5
-19.918074808257167,32.12490506276452,Leuggelbach,6.4
-19.918074703325793,32.12490515627238,Haslen,6.0
-19.918074568424654,32.124905291542724,Schwanden (F.Blumer),4.3
-19.9180735246665,32.12490494091418,Empächli,1.2
-19.918073631815762,32.12490522651857,Krauchbach,3.1
-19.91807370268727,32.12490537687107,"Engi, Hinterdorf (Sernf)",2.5
-19.91807380942678,32.12490544315236,"Engi, Vorderdorf (Mühlebach)",16.1
-19.918073896702566,32.12490541890774,"Mühlebach II, Engi",1.8
-19.918074483373925,32.12490533610433,Schwanden (Sernf),85.0
-19.918074483373925,32.12490533610433,Schwanden (Niederenbach),40.0
-19.9180744843738,32.12490533496483,Schwanden (Gemeinde),10.5
-19.918074531571673,32.12490531172494,Schwanden (SNE),2.3
-19.918074562824675,32.12490544087501,Mitlödi (Föhnen/Sool),21.8
-19.91807456409856,32.124905459063086,Mitlödi (Seidendruckerei),5.7
-19.91807463661102,32.124905579386265,"Mühlefuhr, Ennenda",5.5
-19.918074700666455,32.12490559588302,Holenstein I  Wehr. KW Glarus,2.2
-19.918074869340565,32.12490572235448,Walzmühle 2,2.38
-19.91807498587209,32.12490582205178,"Elggiskraft, Netstal",4.35
-19.918075072115048,32.12490572816744,Am Löntsch,119.1
-19.918075019733205,32.12490590570459,"Linthkraft, Netstal",6.2
-19.91807164452939,32.12490661562931,Tobel,3.9
-19.918071439030967,32.124906726441246,Mels (KW Stoffel),14.0
-19.918071456009248,32.124906733269476,Mels (Halde),2.64
-19.91807192554896,32.124906654793904,"Weissenstein, Mels",2.36
-19.9180718402065,32.124906649559264,Chapfensee,1.7
-19.918071939947396,32.12490663775354,Mädems-Parmort,5.7
-19.918071629424148,32.12490676928566,Plons,22.92
-19.91807238567763,32.124906841670985,Pravizin 1 (Bruggwiti),42.8
-19.918072384811055,32.124906839395734,Pravizin 2 (Äuli),6.77
-19.918072199891984,32.124906859283875,"Röllbach, Flums",2.64
-19.918072335147972,32.12490687168707,"Felsen, Flums",8.0
-19.91807219496448,32.124907078947494,"Eggli, Walenstadt, Berschis",10.6
-19.91807233947263,32.12490687547661,Neues Sägengüetli,4.22
-19.918072579760718,32.12490714304918,Töbeli,2.8
-19.918073096883514,32.12490684682301,Talbach,5.4
-19.91807316780837,32.124906730648256,Oberterzen (Büeli),6.44
-19.918073676641164,32.12490631431168,Merlen,2.4
-19.91807364601218,32.12490650715166,Plätz,23.7
-19.918073635879484,32.12490666113098,Gödis,13.4
-19.918073608385704,32.12490671731287,"Säge, Murg",11.5
-19.91807451611586,32.124906668043806,Muslen,3.7
-19.91807531910129,32.12490600021326,Rütiberg (Obersee),4.7
-19.91807531910129,32.12490600021326,Rütiberg (Brändbach),3.8
-19.91807513312691,32.1249060679317,"Risi, Näfels",18.7
-19.91807537833962,32.124906264551875,Bleiche,6.8
-19.918075209753614,32.12490640728821,Ziegelbrücke,2.17
-19.918076523083176,32.124906924536845,"Uznaberg, Uznach",1.9
-19.918076845762016,32.12490594986367,Rempen,60.0
-19.9180769397366,32.124906234313,Siebnen,60.0
-19.91807738882379,32.124906183465576,"Spreitenbach, Galgenen Kistler",0.9
-19.91807755846553,32.12490695961499,Pilgersteg,2.0
-19.918077872532997,32.12490615761974,Etzelwerk Altendorf,249.78
-19.91807875201643,32.12490594417621,Bäch,1.04
-19.91807877797572,32.1249056838442,Schindellegi,4.18
-19.918079089959793,32.124905622668685,Sihl-Höfe,8.9
-19.918079624075478,32.12490547461868,Waldhalde,16.0
-19.918081304577466,32.12490691415392,Letten,23.29
-19.918081804252374,32.124906895813766,Höngg,8.44
-19.91808260427061,32.12490673185591,Dietikon,15.83
-19.918082584901263,32.12490670877923,Dietikon-Dotierzentrale,3.6
-19.91808361502061,32.1249068529916,Wettingen-Dotierzentrale,11.56
-19.918083622668615,32.12490685744618,Wettingen,128.63
-19.91808378608621,32.124906914617476,Aue-Dotierzentrale,3.0
-19.918083767778487,32.124906937910836,Aue,27.7
-19.918083995088967,32.12490700112392,Kappelerhof,41.6
-19.918084232063034,32.12490695481505,Schiffmühle - Dotierzentrale,1.9
-19.918084283211414,32.124906951178616,Schiffmühle,16.0
-19.918084416078543,32.12490697947569,Turgi,7.2
-19.9180845556089,32.124906955838604,Gebenstorf,6.7
-19.918084573857985,32.12490699345186,"Stroppel, Untersiggenthal",5.1
-19.918074891562394,32.124904861709695,"Rufi, Hätzingen",4.7
-19.918079627813803,32.12489877011064,Altstafel,21.6
-19.918079981655655,32.12489934836925,Gletsch-Oberwald,42.0
-19.91807996713207,32.12489926818214,"Oberwald, Gere",22.0
-19.918080251144175,32.124898906732476,Ulrichen,8.5
-19.918080592111995,32.124898637054294,Merezenbach,9.3
-19.918080519004484,32.1248988207207,"Niderbach, Münster-Geschinen",3.08
-19.91808075436632,32.12489839425577,"Wannebode, Reckingen",8.0
-19.918081081439972,32.12489816917839,"Walibach, Grafschaft",12.1
-19.918081238215525,32.12489757761765,Rappental,3.0
-19.918081673816854,32.12489745814818,Neubrigg / Mubisa,90.0
-19.91808171286916,32.1248977280986,Fieschertal,142.0
-19.918081676984528,32.124897458879026,"Fiesch, Wysswasser",8.2
-19.91808169604354,32.12489740400859,Ernen,182.7
